iteration 	 keff 	 	 error	
266	3.62235	 	1.30526	 	
267	3.62036	 	1.30453	 	
268	3.61836	 	1.3038	 	
269	3.61636	 	1.30307	 	
270	3.61435	 	1.30233	 	
271	3.61233	 	1.30159	 	
272	3.6103	 	1.30085	 	
273	3.60827	 	1.3001	 	
274	3.60623	 	1.29936	 	
275	3.60419	 	1.29861	 	
276	3.60213	 	1.29785	 	
277	3.60007	 	1.2971	 	
278	3.59801	 	1.29634	 	
279	3.59593	 	1.29558	 	
280	3.59385	 	1.29482	 	
281	3.59176	 	1.29405	 	
282	3.58967	 	1.29328	 	
283	3.58757	 	1.29251	 	
284	3.58546	 	1.29174	 	
285	3.58334	 	1.29096	 	
286	3.58122	 	1.29019	 	
287	3.57909	 	1.2894	 	
288	3.57695	 	1.28862	 	
289	3.57481	 	1.28783	 	
290	3.57265	 	1.28704	 	
291	3.5705	 	1.28625	 	
292	3.56833	 	1.28546	 	
293	3.56616	 	1.28466	 	
294	3.56398	 	1.28386	 	
295	3.56179	 	1.28306	 	
296	3.5596	 	1.28226	 	
297	3.5574	 	1.28145	 	
298	3.55519	 	1.28064	 	
299	3.55298	 	1.27983	 	
300	3.55075	 	1.27901	 	
301	3.54853	 	1.27819	 	
302	3.54629	 	1.27737	 	
303	3.54405	 	1.27655	 	
304	3.5418	 	1.27572	 	
305	3.53954	 	1.2749	 	
306	3.53728	 	1.27406	 	
307	3.53501	 	1.27323	 	
308	3.53273	 	1.2724	 	
309	3.53045	 	1.27156	 	
310	3.52816	 	1.27072	 	
311	3.52586	 	1.26987	 	
312	3.52356	 	1.26903	 	
313	3.52125	 	1.26818	 	
314	3.51893	 	1.26733	 	
315	3.5166	 	1.26647	 	
316	3.51427	 	1.26562	 	
317	3.51193	 	1.26476	 	
318	3.50959	 	1.26389	 	
319	3.50723	 	1.26303	 	
320	3.50487	 	1.26216	 	
321	3.50251	 	1.26129	 	
322	3.50013	 	1.26042	 	
323	3.49775	 	1.25955	 	
324	3.49537	 	1.25867	 	
325	3.49297	 	1.25779	 	
326	3.49057	 	1.25691	 	
327	3.48816	 	1.25602	 	
328	3.48575	 	1.25514	 	
329	3.48333	 	1.25425	 	
330	3.4809	 	1.25335	 	
331	3.47847	 	1.25246	 	
332	3.47602	 	1.25156	 	
333	3.47357	 	1.25066	 	
334	3.47112	 	1.24976	 	
335	3.46866	 	1.24885	 	
336	3.46619	 	1.24794	 	
337	3.46371	 	1.24703	 	
338	3.46123	 	1.24612	 	
339	3.45874	 	1.24521	 	
340	3.45624	 	1.24429	 	
341	3.45374	 	1.24337	 	
342	3.45123	 	1.24244	 	
343	3.44872	 	1.24152	 	
344	3.44619	 	1.24059	 	
345	3.44366	 	1.23966	 	
346	3.44113	 	1.23872	 	
347	3.43858	 	1.23779	 	
348	3.43603	 	1.23685	 	
349	3.43347	 	1.23591	 	
350	3.43091	 	1.23497	 	
351	3.42834	 	1.23402	 	
352	3.42576	 	1.23307	 	
353	3.42318	 	1.23212	 	
354	3.42059	 	1.23117	 	
355	3.41799	 	1.23021	 	
356	3.41539	 	1.22925	 	
357	3.41278	 	1.22829	 	
358	3.41016	 	1.22733	 	
359	3.40754	 	1.22636	 	
360	3.40491	 	1.22539	 	
361	3.40227	 	1.22442	 	
362	3.39962	 	1.22345	 	
363	3.39697	 	1.22247	 	
364	3.39432	 	1.22149	 	
365	3.39165	 	1.22051	 	
366	3.38898	 	1.21952	 	
367	3.3863	 	1.21854	 	
368	3.38362	 	1.21755	 	
369	3.38093	 	1.21656	 	
370	3.37823	 	1.21556	 	
371	3.37553	 	1.21457	 	
372	3.37282	 	1.21357	 	
373	3.3701	 	1.21256	 	
374	3.36738	 	1.21156	 	
375	3.36465	 	1.21055	 	
376	3.36191	 	1.20954	 	
377	3.35917	 	1.20853	 	
378	3.35642	 	1.20752	 	
